title,developer,publisher,tags,overview
Fallout Shelter,Bethesda Game Studios ,Bethesda Softworks ,"['Free to Play', 'Survival', 'Base Building', 'Post-apocalyptic', 'Singleplayer', 'Simulation', 'Strategy', 'Management', 'Building', '2D', 'Crafting', 'RPG', 'Casual', 'Adventure', 'Sandbox', 'Multiplayer', 'Action', 'Funny', 'Atmospheric', 'Great Soundtrack']","Fallout Shelter puts you in control of a state-of-the-art underground Vault from Vault-Tec. Build the perfect Vault, keep your Dwellers happy, and protect them from the dangers of the Wasteland.BUILD THE PERFECT VAULTCreate a brighter future…underground! Select from a variety of modern-day rooms to turn an excavation beneath 2,000 feet of bedrock into the very picture of Vault Life.OVERSEE A THRIVING COMMUNITY Get to know your Dwellers and lead them to happiness. Find their ideal jobs and watch them flourish. Provide them with outfits, weapons, and training to improve their abilities.CUSTOMIZETurn worthless junk into useful items with Crafting! Customize the look of any dweller in the Barbershop.PROSPERA well-run Vault requires a variety of Dwellers with a mix of skills. Build a Radio Room to attract new Dwellers. Or, take an active role in their personal lives; play matchmaker and watch the sparks fly! EXPLORE THE WASTELANDSend Dwellers above ground to explore the blasted surface left behind and seek adventure, handy survival loot, or unspeakable death. Find new armor and weapons, gain experience, and earn Caps. But don’t let them die!PROTECT YOUR VAULTFrom time to time, idyllic Vault life may be disrupted by the dangers of post-nuclear life. Prepare your Dwellers to protect against threats from the outside…and within.Vault-Tec has provided the tools, but the rest is up to you. What are you waiting for? Get started building your Vault today for FREE."
Shakes and Fidget,Playa Games GmbH ,Playa Games GmbH ,"['Free to Play', 'RPG', 'Casual', 'Massively Multiplayer', 'Adventure', 'Strategy', 'Multiplayer', 'MMORPG', 'Indie', 'Fantasy', 'Character Customization', 'Medieval', 'Comedy', 'Clicker', 'Dark Humor', 'Classic', 'Funny', 'Singleplayer', 'Story Rich', 'Cult Classic']","Shakes and Fidget is a fun fantasy RPG satire and an award-winning role-playing game at the same time! Sounds crazy? Over 50 million players make it one of the most popular online games in the world!Customize your own comic book hero and conquer the top slot of the Hall of Fame! It’s not an easy task with real players standing between you and victory in the PVP arena. Together with your pals from your guild you become stronger, more invincible, and find lots of epic loot! Accept quests, complete exciting adventures, level up, collect gold, obtain honor, be ""overpowered"" and become a living legend!FEATURES:* Free to Play* Award-winning multiplayer RPG* Unique comic book look* Tongue-in-cheek humor* Guild fights, friends-chat and messaging system* Easy to learn, easy to use, ingenious gags, regular updatesAND EVEN MORE FEATURES:* 8 selectable races and 5 classes* PvP against other real players* Thousands of weapons and magical equipment* Exciting quests and creepy dungeons* Fully customizable character image in comic book look"
Tactical Monsters Rumble Arena,Camex Games ,Camex Games ,"['Free to Play', 'Strategy', 'Multiplayer', 'Turn-Based', 'RPG', 'Indie', 'Adventure', 'Card Game', 'Tactical', 'PvP', 'Turn-Based Strategy', 'Tactical RPG', 'Turn-Based Tactics', 'Action', 'Early Access']","=GAME SUMMARY=Experience the rush of 3-5 minute strategy battles in the world of Tactical Monsters comprised of monsters from all corners of the world.  Whether you are competitive in real life or virtual reality, this is the ultimate competition game for you!=GAMEPLAY GENRE=Form the most monstrous team and conquer the real-time multiplayer gameplay. Outsmart and destroy your opponents by strategically positioning your monsters before battle and tactically controlling their actions in battle.This is a turn-based, hex grid tactics gameplay with monsters from all time and space. From Franky the Frankenstein, to fantasy monsters like Medusa and Griffin, to culturally established creatures like WuKong and the Mummy, to monsters you’ve never seen before such as Bigfoot and Nobu the ghost samurai. Each monster have their own unique background and jobs. Each monsters have unique skills such as magic skills, physical skills, or even world-ending skills like the nuclear warhead from Dr. Walter’s Mecha Machine.=SOCIAL INTERACTIONS=Play with your friends in 1 on 1 virtual battles, form a clan to trade cards. Exchange tactical knowledge with players worldwide in the world chat and clan chat. Build your own clan defenses to fend off the enemy raiders and be the #1 clan in the world! =FEATURES=- Battle through Adventure Mode to recruit unique monsters.- Upgrade the monsters to unlock ridiculous monstrous and destructive skills- Endure through the Guerrilla Warfare Mode (Survival Mode) to defeat the never-ending BOSSES.- Sharpen your tactics by visiting Training Grounds.- Duel players in real time live PVP to take their thrones and claim the world treasure chest.- Set your optimal defense formations and layouts in Mine Defense.- Ally with your clan mates to chat strategy, to share cards and be the #1 clan in your country- Discover free items, rewards and monsters.- You might like this game if you like to like turn-based games, strategy games, hero growth and heroes collection games, RPG games, TRPG games, games similar to western chess, Chinese chess, war chess. This game is also similar to other turn-based hex grid or hexagonal games.=SUPPORT=Email us at support@tacticalmonsters.comFollow us on Facebook to get news, updates:www.facebook.com/tacticalmonstersTwitter: @TacticalMonsJoin our Discord channel to chat strategy:https://discord.gg/XYHhgB4*Get 500 FREE gems by joining our Discord group and entering your player ID in the #newbies_free_gems channel*Tactical Monsters is fully developed, owned and operated by Camex Games. *Camex Games partnered with Lemix Games to bring you some of your favorite characters from Monster Castle."
Creativerse,Playful Corp. ,Playful Corp. ,"['Free to Play', 'Survival', 'Open World', 'Multiplayer', 'Building', 'Sandbox', 'Crafting', 'Adventure', 'First-Person', 'Co-op', 'Action', 'Massively Multiplayer', 'Singleplayer', 'RPG', 'Indie', 'Early Access', 'Simulation', 'Casual', 'Voxel', 'Zombies']","EMBARK ON A WONDROUS ADVENTUREWield the power to manipulate and transform the land to your will in a world of endless discovery.  Gain mastery over your world through exploration, combat, mining, crafting, and building.   Settle in and build your home as you harvest crops, tame beasts, brew potions, cook food, and engineer mechanical marvels.DIVE INTO A GIGANTIC OPEN WORLDTraverse an immense landscape with a wide variety of inviting natural environments and encounter strange and exotic creatures. Venture deep beneath the surface through layers of unique and treacherous underground biomes where survival is anything but easy.  Master emergent world systems including day/night cycles, temperature, weather, liquids, materials, environmental growth and spawning.PLAY TOGETHERBuild up your own private world and invite your friends, or stake a claim in a public world to meet new players.  Easily browse through thousands of live player worlds that you can visit or make your home.  Join our thriving and welcoming community to make friends, get inspired, collaborate and learn all the secrets of Creativerse.CREATE YOUR MASTERPIECEPull and place blocks to build and decorate with an enormous variety of content.  Start with a step-by-step guided blueprint or make your own creations from scratch using over 400 unique pieces.  Master wireless machines and program complex interactions like creature spawning, block manipulation, dialogues, custom checkpoints and much much more to create your own adventure.SHARE WITH THE WORLDPublish your creations and adventures to millions of other Creativerse players.  Browse and play through thousands of hand-crafted experiences created from the community. Collect enough likes and views for your adventure and see it featured on the front page!  Can you create the most popular experience of all? "
Dreadnought,"Six Foot, YAGER ",Grey Box ,"['Free to Play', 'Space', 'Action', 'Massively Multiplayer', 'Sci-fi', 'Shooter']","Dreadnought is about one thing: team-based, capital ship combat. It’s a free-to-play shooter that puts you at the center of battles in space and above the surfaces of colonies across the solar system.But it’s not just you and your guns against the world. You have your teammates—outlaw captains like yourself—and a range of ballistic weaponry, Goliath nuclear torpedoes, and long-range Tesla cannons to fill out your earth-shaking arsenal.Combat in Dreadnought takes place at a deliberate pace, giving you just enough time to react to an ever-changing battlefield. During each match, you’ll be able to respawn as a different vessel and switch up your strategy—all while the opposing team does the same.Winning isn’t just about cannons, missiles, and torpedoes. Each vessel is equipped with an energy management system that gives your crew the ability to activate shields, boost engine power, and amplify weapon damage. Using this energy wisely is key to coming out on top.   Every battle gives you Credits and XP, which you can spend to unlock a range of ships, weapons, and modules.Fly ships from 3 manufacturers – The tough and rugged Jupiter Arms, the solid and bulky Akula Vektor, and the sleek and ethereal Oberon.""Have you tried Dreadnought? Best free game out there. Graphics are awesome, kinda feels like I'm stealing by playing this one"" - JPanman""Boom. Straight facts right here! Dreadnought is awesome, free to play, and not pay to win! "" - @Elite_CR""At first i didn't think I'd EVER like the corvette ships... turns out, they're a whole lotta fun!  Dreadnought is a blast (pun intended)"" - @TrashPandaGrr"" I'm here to say that Dreadnought, the free to play large spaceship biffing game, is fun as hell and very pretty "" - @badthingsliker""So very proud to represent Dreadnought! Every time I get online and interact with the amazing community they have, I am reminded how lucky I am!"" - MTNrhyno  Fight in 8v8 matches – Unleash your guns alongside friends—or complete strangers. Command your own capital ships – Over 70 vessels across 5 specialized classes. Outwit opponents – Maneuver your ship up, down, and across vast battlefields. Adapt and conquer – Respawn in different ships and loadouts during matches. Create the perfect loadout – Equip weapons, modules, and more. Choose from thousands of combinations. Customize your ships – Look more colorful in victory—and defeat. Personalize your captain – Suit up in a wide range of unique outlaw apparel. Mix up the battlefield – Play classic game modes like Team Deathmatch, Onslaught, and Conquest. Advance your rank – Gain experience to unlock more advanced ships and modules. New ships – We will keep adding more ships across all 3 ship manufacturers  New maps – More space and terrestrial battle arenas are coming in the future More game modes – Havoc and co-op PvE missions are on the horizon!  Daily login bonuses – Play often to get rewards Prestige system – Rise from fresh-faced rookie to veteran outlaw Crew progression – Level up your officers with specialized skills Community events - Take part in limited-time events for special rewards Additional languages – Coming soon More to come – Stay tuned! Battles are never pay-to-win. You can’t “buy power” for your ship—just items to customize its appearance.  We deploy game updates and quality-of-life improvements at least every 2 months. We also regularly release new content for the in-game market. We listen: tell us what you think about the game (and what you’d like to see in the future) in our community forums!The beta test period for Dreadnought has ended. All players are required to have a Steam account and complete a quick, one-time accounting linking process.Please note: if you participated in the beta, all progress and balances you have achieved will remain intact. Thank you for playing!Add us to your Steam wish list to be informed when Dreadnought launches and follow us to receive updates on ongoing development. "
Infestation: The New Z,Fredaikis AB ,Fredaikis AB ,"['Zombies', 'Free to Play', 'Survival', 'Multiplayer', 'Open World', 'Massively Multiplayer', 'FPS', 'Action', 'Shooter', 'PvP', 'Co-op', 'Violent', 'Survival Horror', 'Adventure', 'RPG', 'Horror', 'Third-Person Shooter', 'PvE', 'Walking Simulator', 'Indie']","Infestation: The New Z is a FREE TO PLAY multi-game mode experience developed based on community feedback. Experience a massive open world shooter featuring a dynamic player vs player experience in different game modes and worlds. Discover three separate free-to-play game modes in one game.BATTLE ROYALEBe the last man standing to win. Start with nothing, scavenge and kill your way into victory. Work your way up in the ELO-based leaderboards and become the best player out there!SURVIVALScavenge, craft & survive in a massive open world. Find the best loot spots with your friends but be careful, you might run into some pesty zombies or even other survivors! Survival is a game mode where gameplay and loot is influenced by the old Infestation series, also released under the title The War Z.OPEN WORLDExperience the traditional PvP aspect of The New Z. In Open World players have the choice to play in traditional maps or smaller close combat maps. Loot is common creating a more PvP-oriented experience.Besides the three different and separate game modes The New Z is developed based on community feedback with constant updates & changes. Next to that the game is armed with the custom made ""Fredaikis Anti-Cheat"" developed for the game."
Champions Online,Cryptic Studios ,Perfect World Entertainment ,"['Free to Play', 'Superhero', 'Massively Multiplayer', 'RPG', 'Character Customization', 'MMORPG', 'Open World', 'Multiplayer', 'Action', 'Third Person', 'Co-op', 'Adventure', 'Comic Book', 'Singleplayer', 'Sci-fi', 'Online Co-Op', 'Action RPG', 'PvP', 'FPS', 'Controller']","Champions Online brings epic heroism back to the MMORPG genre with depth that challenges the most experienced online gamers, while its fast-paced action engages new entrants to the online superhero universe. Join Defender and the legendary Champions to stop Dr. Destroyer and his minions in the ultimate showdown between good and evil. Key features: Free-to-Play: Play a triple-A MMO experience without cost. Play from level 1 to 40 free of charge! There is no box price and no mandatory subscription. Enjoy Champions Online as you like, when you like. Total Customization: Choose from thousands of different costume pieces, colors and body types to create your character's one-of-a-kind look. There are billions of possible combinations, and even in a universe brimming with the fantastic and the unforgettable, you can be completely unique! Keep Your Enemies Close: Every hero must have an archenemy. Design your character's supreme adversary, choosing a name, powers and costume for a superpowered foe to bedevil your hero throughout his or her career. Endless Exploration: The battle against evil rages across the world and into alternate dimensions. No other MMO offers players the chance to explore such diverse realms — from the shining skyscrapers of Millennium City and the frozen wastes of Canada to the hidden underwater city of Lemuria, the foul mystical dimension known as Qliphothic, and the tormented Vibora Bay. Evil Most Foul: Battle supervillains, aliens, giant monsters and secret, sinister organizations. Doctor Destroyer is launching new plans to conquer the world. VIPER lurks in the shadows, seeking chances to strike at humanity. The ancient Lemurians are plotting a return to power. And Mechanon won't stop until it has wiped all organic life from the planet. Can you stop these heinous threats to humanity? Hi-Octane Excitement: Combat is instantaneous and electrifying. No more boring auto attacks and lengthy recharge times.  Brains Required: Every enemy and super-powered threat in Champions Online has its own unique abilities and combat specialties. Use your head or wind up dead! Bring Friends, Make Friends: Our universe is jam-packed with thousands of heroes, facing thousands of threats. Join up with other heroes, create your own super group, and prepare to take on the ultimate threats! Your Powers, Your Terms: There is a multitude of astonishing powers to choose from and the flexible character creation system gives you total control over your hero's abilities. You can even pick the appearance of your powers. Do you want purple force fields? Green fire blasts? Jet black claws? You decide! Bigger and Better: Vanquish evil and your successes will be rewarded with costume pieces to enhance your powers and abilities. Then customize the appearance of those rewards to your vision of your hero's look and abilities! Make Your Mark: All this within a constantly changing, continually evolving story: Villains are defeated. Heroes rise and fall. Cities transform. Your actions may decide the future!  "
Shop Heroes,"Cloudcade, Inc. ","Cloudcade, Inc. ","['Free to Play', 'Simulation', 'Casual', 'Strategy', 'RPG', 'Massively Multiplayer', 'Crafting', 'Building', 'Multiplayer', 'Management', 'Fantasy', 'Singleplayer', 'Clicker', 'Co-op', 'Loot']","Craft legendary items, gear up your heroes for epic quests, and fight for the top of the PvP leaderboard in the original smash hit shop sim / city builder with quests and adventure: Shop Heroes!Grow your simple shop into a vast empire! Become a medieval fantasy tycoon by crafting, selling, and trading items with other players. Recruit a team of RPG heroes to go on quests and equip them with your finest weapons and armor. Work together with other player merchants to build the greatest City in all civilization. All of this adventure and more awaits you - join the millions of players that have made Shop Heroes their second home.The season of Starfrost is upon us! Build a beautiful Starfrost Fountain, tame the elusive Starfrost Bunny, or even frolic with your Starfrost Skates.~~~~~~~~~BUILD A FANTASY EMPIRE~~~~~~~~~◆ DESIGN your dream item shop with beautiful interior decorations◆ DRESS UP your shopkeeper avatar in stylish outfits◆ CRAFT powerful items to sell to adventurers and players alike◆ ADVANCE through unique tech trees to discover incredible weapons and armor◆ TRADE with other players to build your wealth and fame◆ FUSE items together to unlock the rarest and most powerful equipment~~~~~~~~~CONQUER THE KINGDOM~~~~~~~~~◆ RECRUIT and gear up a diverse cast of RPG heroes◆ LOOT exciting treasures in Aragonia’s many quests and adventures◆ BATTLE other players in PvP combat for wealth and glory◆ TEAM up with friends to build a powerful and profitable City◆ RAID massive dungeons with your City to earn exclusive lootRegular events, updates, and new content are always happening. Come see what Shop Heroes has in store for you.~~~~~~~~SUPPORT~~~~~~~~Experiencing any problems? Got some suggestions? We would love to hear from you! You can reach us at https://cloudcade.helpshift.com for immediate assistance.A persistent network connection is required to play.PLEASE NOTE! Shop Heroes is completely free to play, but you can purchase some game items with real money. If you don’t want to use this feature, you can disable in-app purchases in your device’s settings.Use of this application is governed by the Terms of Service available at https://cloudcade.com/terms-of-service/Collection and use of data are subject to the Privacy Policy available at http://cloudcade.com/privacy-policy/Like Us: http://facebook.com/shopheroesFollow Us: http://twitter.com/shopheroesgamehttp://shopheroes.com"
Magic Duels,Stainless Games Ltd. ,Wizards of the Coast LLC ,"['Free to Play', 'Card Game', 'Trading Card Game', 'Magic', 'Strategy', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Co-op', 'Online Co-Op', 'Turn-Based', 'Great Soundtrack', 'Action', 'Board Game', 'Casual']","MORE CARDS. MORE STRATEGY. BIGGER STORY. Collect 1,300+ earnable cards, battle in 60+ single-player campaign missions, and emerge victorious in epic online duels. Never played Magic: The Gathering? Learn how as you take on the role of an iconic Planeswalker. Veteran Magic player? Hone your skills and match wits with opponents online.NEW CARDS: 158 NEW unique cards from Magic's Amonkhet set.NEW STORY: A NEW story-driven Amonkhet Campaign.  NEW ITEMS: Customize your play experience with 6 new cards sleeves and 5 new personas.MANY WAYS TO PLAY: Experience some of Magic's most iconic moments in Story Mode, head to Battle Mode to take on your friends, or grab a partner for a four-player Two-Headed Giant battle.BUILD POWERFUL DECKS: Build your deck of devastating spells from an ever-growing library of earnable cards.PRACTICE OFFLINE: Hone your skills and try new decks and strategies against virtually endless AI opponents in Solo Mode.For Magic Duels game support, please visit:http://magic.wizards.com/en/content/magic-duels-support"
Robocraft,Freejam ,Freejam ,"['Free to Play', 'Robots', 'Building', 'Multiplayer', 'Action', 'Shooter', 'PvP', 'Massively Multiplayer', 'Sandbox', 'Crafting', 'Third-Person Shooter', 'Sci-fi', 'Strategy', 'Simulation', 'Early Access', 'Indie', 'Open World', 'Funny', 'Adventure', 'RPG']","Build insane, fully customisable robot battle vehicles that drive, hover, walk and fly in the free-to-play action game Robocraft. Add weapons from the future and jump in the driving seat as you take your creation into battle against others online!BUILD - Combine blocks in an easy-to-use editor interface to create a futuristic robot battle vehicle armed with dozens of different weapon options.DRIVE - Jump into the pilot seat and test out your robot design against AI. Jet cars, tanks, flying warships, helicopters, drones; almost any vehicle is possible in Robocraft!FIGHT - Battle online in vast battlefields against players from all over the world on dedicated servers.ADDITIONAL FEATURESOver 250 cubes and growing! Be part of a constantly changing metagame with new weapons, components and features added every monthWatch as enemy robots break apart cube by cube as you destroy them with powerful weaponry which players can switch between at their leisureForm Parties and battle on the same team with your friendsCreate or join Clans of up to 50 playersShare your robotic creations with other players online via the Community Robot FactoryFor more information about Robocraft, please visit Robocraftgame.com "
Business Tour - Board Game with Online Multiplayer,Creobit ,8Floor ,"['Free to Play', 'Board Game', 'Strategy', 'Massively Multiplayer', 'Casual', 'Multiplayer', 'Indie', 'Management', 'Capitalism', 'Co-op', 'Trading', 'Singleplayer', 'Adventure', 'Psychological Horror']","""Business Tour"" simple and entertaining gameplay allows you to come up with many interesting strategies, come to agreements with your rivals and even enter into conspiracies against other players. Apart from that, the game helps you to reveal your inner entrepreneurial qualities. For precisely this reason, children and adults alike can enjoy this game equally.""Business Tour"" allows you to play a classic tabletop game online with your friends. The main advantage of ""Business Tour"" is that it's easy to learn to play, but that doesn't mean it's easy to win. You'll have to use all your bravery and business acumen to defeat real opponents. Difficulty and unpredictability make the classic table-top game more interesting, and the gameplay more diverse.Key features: * Online multiplayer mode, 2-4 players * Offline multiplayer mode * Play with Bots * Trading Cards and Achievements * Worldwide leaderboard * Your favorite game is now online * Daily Tasks * Inventory"
Aura Kingdom,X-Legend ,Aeria Games ,"['Anime', 'Free to Play', 'MMORPG', 'RPG', 'Massively Multiplayer', 'Adventure', 'Multiplayer', 'Fantasy', 'Open World', 'Action', 'Casual', 'JRPG', 'Cute', 'Magic', 'Nudity', 'Third Person', 'PvE', 'Online Co-Op', 'Co-op', 'Female Protagonist']","Aura Kingdom is a new Anime MMORPG published by Aeria Games. Developed by the studio behind the highly popular Eden Eternal and Grand Fantasia, Aura Kingdom offers a grand and beautiful world for every player to explore with beautiful anime graphics.Starting with one out of eleven different classes, Aura Kingdom offers the possibility for players to select a sub-class once they reach level 40, allowing for countless of original builds! Players will also walk along the side of their Eidolons in their journey; they are loyal interactive companions who grant the strength to unleash massive combos. Thousands of players already walk the world of Azuria. It is time for you to join them!Key Features:Interactive companions – Eidolons are no ordinary pets. Not only do they participate in battle, but they will also remember your actions and tell you what's on their mind. They are part of Azuria!Fast-paced, dynamic fights – Mobility is a key aspect in battle. Think fast, act faster! Dodge your foes' attacks and call upon your Eidolon to unleash spectacular combos! Adaptability – Customize your character so he can overcome every challenge! Improve the skills that fit your play-style and switfly change them during battle to adapt to your opponent's strategy. Creativity can win you the battle!A wonderful world – Travel the immense lands of Azuria, visit towns brimming with life and explore mysterious and hidden dungeons to stop the evil of this world. You can make the difference, hero! "
Crusaders of the Lost Idols,Codename Entertainment Inc. ,Codename Entertainment Inc. ,"['Free to Play', 'Clicker', 'Casual', 'Indie', 'Funny', 'Zombies', 'Fantasy', '2D', 'Multiplayer', 'Strategy', 'RPG', 'Singleplayer']","Unlock crusaders, Collect gear, and Earn achievements!Crusaders of the Lost Idols is the Award Winning clicker idle game of heroic awesomeness. Create a band of unusual heroes to battle monsters, earn gold by killing them and use it to level-up and unlock new character abilities. Organize your Crusaders by designing the perfect formation for maximum damage. Master Formation Strategy over multiple campaigns and events that are updated every month.Formation StrategyThe only clicker/idle game to feature a formation system. Crusader specific abilities, buffs, and gear challenge the player to find the best formation every campaign and event.Unlock CrusadersCollect an unusual host of over 54 characters such as The Bat Billionaire, Emo Werewolf and RoboTurkey, inspired by the world of video games and popular culture with more added Every Month.Collect Gear, Buffs, and TrinketsA cornucopia of content with hundreds of unique upgrades for each character, including unique gear, and buffs are available to collect. PLUSOver 10,000 LevelsMaster over six campaigns with dozens of objectives with deep playability and challenge; more campaigns released regularly.Daily QuestsEach day players are challenged to complete mini-objectives that reward success with precious red rubies.Monthly EventsLimited time events featuring special objectives and exclusive new content updated Every Month.MissionsSend your idle Crusaders on side missions to unlock past Event Crusaders, new gear, earn Enchantment Points and jeweled chests plus more!"
AdventureQuest 3D,"Artix Entertainment, LLC ","Artix Entertainment, LLC ","['Early Access', 'Free to Play', 'RPG', 'Massively Multiplayer', 'MMORPG', 'Adventure', 'Multiplayer', 'Action', 'Fantasy', 'Action RPG', 'Third Person', 'Indie', 'Early Access', 'Anime', 'Open World', 'Action-Adventure', '3D Vision']","AdventureQuest 3D is a cross-platform (phone, tablet, & PC/Mac) re-imagining of the original 2D flash web browser game. Updated (almost) weekly. BATTLE ON!A true cross-platform massively multiplayer game that allows you to play your character, on the same world as your friends, from your PC, Mac, Android, and Apple iOS devices. Set in the most dangerous era of AdventureQuest's timeline, the world has come under attack by a mysterious new threat. Answer the call and travel to the legendary town of Battleon where you will discover unusual characters, incredible adventures, \horrifying puns, and a world story line so big that you will have to help us write it as we go... did we mention regular updates?FEATURES Cross-Platorm - Play your character, on the same world, from your PC, Mac, Android, Apple iOS phones & tablets.Real Time Combat Multi-Class System Weapon Fusion Evolving World - regular updates with new stories, areas, monsters and weapons "
Realm Grinder,Divine Games ,Kongregate ,"['Free to Play', 'Clicker', 'Strategy', 'RPG', 'City Builder', 'Pixel Graphics', 'Singleplayer', 'Casual', 'Building', '2D', 'Indie', 'Multiplayer', 'Resource Management', 'Simulation']","Grow your kingdom, build alliances, and explore one of the deepest idle RPG's ever!Use your money and influence to grow your kingdom from a single farm to a huge realm that earns wealth even while you're not online! In Realm Grinder, the player is given an incredible array of choices in how they build forge their new kingdom. KEY FEATURES:Choose to align yourself with a dozen different factions, each of which has their own distinct play style. Will you align with the elves, who reward tapping for treasure, or the demons, who give massive bonuses to the most powerful structures?Further fine tune your strategy by choosing unique upgrades, buildings, and spells to invest in.Continue to unlock new and exciting systems like new factions, research, reincarnations, excavations, and way more. Months and months of unique content!Achievement hunters will be delighted with the broad range and depth of the achievement system. And it's not just eye candy! Many strategies rely on collecting trophies in order to boost certain upgrades."
H1Z1,"Daybreak Game Company, NantG ",Daybreak Game Company ,"['Survival', 'Massively Multiplayer', 'Multiplayer', 'Open World', 'PvP', 'FPS', 'Action', 'Shooter', 'Third-Person Shooter', 'Battle Royale', 'Free to Play', 'Zombies', 'Early Access', 'Co-op', 'Online Co-Op', 'Adventure', 'First-Person', 'Violent', 'Walking Simulator', 'Gore']","H1Z1: Battle Royale is a free to play, fast-paced, battle royale shooter. Play the all-new “Return of the Apocalypse” expansion featuring a new map, new faster paced gameplay, and legendary weapons. Play solo, duos, or fives to survive Outbreak and be the last ones standing. Free To Play!RETURN OF THE APOCALYPSE•Free Expansion•The infamous Z1 map has finally arrived in H1Z1 as ""Outbreak"" •New fast paced gameplay (PS3): quick jump, no-lock camera strafe, quick run animation, and more•The first ever legendary weapon! ""Apocalypse AK-47"" is now available in the all-new Apocalypse Crate•If you’re not first, you’re deadVisit the H1Z1 website https://www.h1z1.com for more info!"
